id,video_id,video_title,channel,text,author,published_at,like_count,compound_sentiment,positive_sentiment,neutral_sentiment,negative_sentiment,anger_emotion,disgust_emotion,fear_emotion,joy_emotion,neutral_emotion,sadness_emotion,surprise_emotion
Ugy21lb4iEzn886yf1h4AaABAg,pBk4NYhWNMM,Barbie | Main Trailer,Warner Bros.,❤,@NikkiNtlombeni,2025-04-12T14:00:28Z,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UgxJyHJmafHX1ASPSdB4AaABAg,pBk4NYhWNMM,Barbie | Main Trailer,Warner Bros.,❤❤❤❤❤❤,@simoneprocida-f3z,2025-04-11T16:29:47Z,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UgzJFJMtXf8HXK-EGlV4AaABAg,pBk4NYhWNMM,Barbie | Main Trailer,Warner Bros.,Feministic propaganda this movie should be banned,@TurboCevap,2025-04-11T05:49:46Z,0,-0.9229446053504944,0.008207018487155437,0.060641370713710785,0.9311516284942627,0.7790170311927795,0.1258043348789215,0.011504865251481533,0.00197027949616313,0.057869408279657364,0.019612649455666542,0.004221408627927303
UgxNg9wGyqRlRnOjB3t4AaABAg,pBk4NYhWNMM,Barbie | Main Trailer,Warner Bros.,فلم خرا,@km_55.7,2025-04-10T13:11:41Z,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UgwZIZPUnqYKegTncgN4AaABAg,pBk4NYhWNMM,Barbie | Main Trailer,Warner Bros.,Para mi la mejor película que e visto,@CRISTIAN-l9q8b,2025-04-09T22:20:43Z,0,0.011786170303821564,0.09718707203865051,0.8174120783805847,0.08540090173482895,0.06282030045986176,0.021335065364837646,0.5108017921447754,0.045308224856853485,0.154802143573761,0.14597274363040924,0.05895978584885597
Ugxi3mmK5gLnJ48n4rx4AaABAg,pBk4NYhWNMM,Barbie | Main Trailer,Warner Bros.,Щыдц6вш🎉❤😊😢😮😅😊😂у8❤8цш😊2щш❤шуц😊шу😢уг😅ше91хзшойьыьюф     жжжддч🎉😊у8❤😢,@ДинаИсаева-з4с,2025-04-07T18:21:06Z,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UgxsDPrT1S-JKAYT2d54AaABAg,pBk4NYhWNMM,Barbie | Main Trailer,Warner Bros.,٢٠٢٥ 😂,@MalakMalak-jg9pb,2025-04-07T17:58:56Z,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ugw9KhXjrmd9QiRc_1J4AaABAg,pBk4NYhWNMM,Barbie | Main Trailer,Warner Bros.,٢٠٢٥ 😂,@MalakMalak-jg9pb,2025-04-07T17:58:56Z,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ugy_Swa_tThJ-Wwkdcx4AaABAg,pBk4NYhWNMM,Barbie | Main Trailer,Warner Bros.,٢٠٢٥ 😂,@MalakMalak-jg9pb,2025-04-07T17:58:56Z,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ugw7em9DmGtIBNmd71F4AaABAg,pBk4NYhWNMM,Barbie | Main Trailer,Warner Bros.,Barbie 2023 is one of the worst movie ever made,@BlackAmericanFlag,2025-04-07T04:55:57Z,0,-0.9349791407585144,0.008669362403452396,0.04768211022019386,0.9436485171318054,0.02317783050239086,0.958418607711792,0.0026558588724583387,0.0005477911327034235,0.004743154160678387,0.007633975241333246,0.0028225581627339125
