movie_ID,IMDB_ID,title,vote_average,vote_count,status,Release Date,Budget,Revenue,Popularity,Runtime,Language,Genres,Production Companies,Director,Top Cast,Keywords,Profit,Year,Distance From Mean
299534,tt4154796,Avengers: Endgame,8.238,26214,Released,2019-04-24,356000000,2799439100,26.9856,181,en,"Adventure, Science Fiction, Action",Marvel Studios,Anthony Russo,"Robert Downey Jr., Chris Evans, Mark Ruffalo","superhero, time travel, space travel, time machine, based on comic, sequel, alien invasion, superhero team, marvel cinematic universe (mcu), alternate timeline, father daughter relationship, sister sister relationship, awestruck, powerful, vibrant",2443439100,2019,2376557779.686735
76600,tt1630029,Avatar: The Way of Water,7.609,12445,Released,2022-12-14,460000000,2320250281,24.4638,192,en,"Science Fiction, Adventure, Action","20th Century Studios, Lightstorm Entertainment",James Cameron,"Sam Worthington, Zoe Saldaña, Sigourney Weaver","dying and death, loss of loved one, alien life-form, resurrection, dysfunctional family, sequel, alien planet, distant future, adopted child, rebirth, family dynamics, adopted son, stronger villain, war",1860250281,2022,1793368960.6867352
140607,tt2488496,Star Wars: The Force Awakens,7.3,19667,Released,2015-12-15,245000000,2068223624,13.0107,136,en,"Adventure, Action, Science Fiction","Lucasfilm Ltd., Bad Robot",J.J. Abrams,"Harrison Ford, Mark Hamill, Carrie Fisher","android, spacecraft, space opera, requel",1823223624,2015,1756342303.6867352
299536,tt4154756,Avengers: Infinity War,8.235,30394,Released,2018-04-25,300000000,2052415039,34.0939,149,en,"Adventure, Action, Science Fiction",Marvel Studios,Joe Russo,"Robert Downey Jr., Chris Evans, Chris Hemsworth","sacrifice, magic, superhero, based on comic, space, battlefield, genocide, magical object, super power, superhero team, aftercreditsstinger, marvel cinematic universe (mcu), cosmic",1752415039,2018,1685533718.6867352
634649,tt10872600,Spider-Man: No Way Home,7.946,20666,Released,2021-12-15,200000000,1921847111,30.3377,148,en,"Action, Adventure, Science Fiction","Marvel Studios, Pascal Pictures, Columbia Pictures",Jon Watts,"Tom Holland, Zendaya, Benedict Cumberbatch","new york city, hero, showdown, magic, loss of loved one, secret identity, superhero, villain, portal, sequel, vigilante, superhero team, masked vigilante, spider web, alternative reality, aftercreditsstinger, duringcreditsstinger, marvel cinematic universe (mcu), fight for justice, teen superhero, superhero teamup, returning hero, crossover, teamwork, admiring",1721847111,2021,1654965790.6867352
135397,tt0369610,Jurassic World,6.693,20628,Released,2015-06-06,150000000,1671537444,19.2426,124,en,"Action, Adventure, Science Fiction, Thriller","Amblin Entertainment, Universal Pictures",Colin Trevorrow,"Chris Pratt, Bryce Dallas Howard, Irrfan Khan","island, primal fear, escape, velociraptor, dna, tyrannosaurus rex, animal attack, sequel, dinosaur, creature, park, amusement park, theme park, genetic engineering, raptor, animal horror, mosasaurus",1521537444,2015,1454656123.6867352
420818,tt6105098,The Lion King,7.11,10303,Released,2019-07-12,260000000,1662020819,22.4849,118,en,"Adventure, Drama, Family, Animation","Walt Disney Pictures, Fairview Entertainment",Jon Favreau,"Chiwetel Ejiofor, John Oliver, Donald Glover","africa, lion, prince, redemption, musical, uncle, remake, grief, king, family, sidekick, live action and animation, father son relationship, live action remake",1402020819,2019,1335139498.6867352
168259,tt2820852,Furious 7,7.2,10763,Released,2015-04-01,190000000,1515400000,14.7346,137,en,"Action, Thriller, Crime","Original Film, One Race, Universal Pictures",James Wan,"Vin Diesel, Paul Walker, Jason Statham","car race, speed, street race, revenge, race, muscle car, admiring",1325400000,2015,1258518679.6867352
361743,tt1745960,Top Gun: Maverick,8.181,9731,Released,2022-05-21,170000000,1488732821,32.1364,131,en,"Action, Drama","Skydance Media, Don Simpson/Jerry Bruckheimer Films, Paramount Pictures",Joseph Kosinski,"Tom Cruise, Miles Teller, Monica Barbaro","fighter pilot, u.s. navy, sequel, nuclear weapons, military, aircraft carrier, naval aviation, war, admiring, audacious, earnest",1318732821,2022,1251851500.6867352
330457,tt4520988,Frozen II,7.2,9870,Released,2019-11-20,150000000,1453683476,12.6312,103,en,"Family, Animation, Adventure, Comedy, Fantasy","Walt Disney Pictures, Walt Disney Animation Studios",Jennifer Lee,"Kristen Bell, Idina Menzel, Josh Gad","princess, magic, kingdom, winter, queen, castle, musical, sequel, dam, spirit, aftercreditsstinger, frozen, personification, thoughtful, mother daughter relationship, compassionate",1303683476,2019,1236802155.6867352
346698,tt1517268,Barbie,6.979,9764,Released,2023-07-19,145000000,1445638421,25.9312,114,en,"Comedy, Adventure","LuckyChap Entertainment, Heyday Films, NB/GG Pictures, Mattel, Warner Bros. Pictures",Greta Gerwig,"Margot Robbie, Ryan Gosling, America Ferrera","feminism, satire, patriarchy, based on toy, female protagonist, doll, fantasy world, motherhood, existentialism, woman director, mother daughter relationship, playful, gender discrimination, sentimental, hilarious, secret world, whimsical, amused, audacious, celebratory, sarcastic, sympathetic, matel",1300638421,2023,1233757100.6867352
