movie_ID,IMDB_ID,title,vote_average,vote_count,status,Release Date,Budget,Revenue,Popularity,Runtime,Language,Genres,Production Companies,Director,Top Cast,Keywords
27205,tt1375666,Inception,8.369,37309,Released,2010-07-15,160000000,839030630,26.3533,148,en,"Action, Science Fiction, Adventure","Legendary Pictures, Syncopy, Warner Bros. Pictures",Christopher Nolan,"Leonardo DiCaprio, Joseph Gordon-Levitt, Ken Watanabe","rescue, mission, dreams, airplane, paris, france, virtual reality, kidnapping, philosophy, spy, allegory, manipulation, car crash, heist, memory, architecture, los angeles, california, dream world, subconscious, awestruck, complicated, powerful"
157336,tt0816692,Interstellar,8.453,36903,Released,2014-11-05,165000000,746606706,44.7344,169,en,"Adventure, Drama, Science Fiction","Legendary Pictures, Syncopy, Lynda Obst Productions",Christopher Nolan,"Matthew McConaughey, Anne Hathaway, Michael Caine","rescue, future, spacecraft, race against time, artificial intelligence (a.i.), nasa, time warp, dystopia, expedition, space travel, wormhole, famine, hibernation, black hole, quantum mechanics, family relationships, space, robot, astronaut, scientist, single father, farmer, space station, curious, space adventure, shocking, time paradox, cryonics, father daughter relationship, 2060s, cornfield, time manipulation"
155,tt0468569,The Dark Knight,8.519,33688,Released,2008-07-16,185000000,1004558444,34.4859,152,en,"Drama, Action, Crime, Thriller","Warner Bros. Pictures, Legendary Pictures, Syncopy, DC",Christopher Nolan,"Christian Bale, Heath Ledger, Aaron Eckhart","joker, sadism, chaos, secret identity, crime fighter, superhero, anti hero, scarecrow, based on comic, vigilante, organized crime, tragic hero, anti villain, criminal mastermind, district attorney, super power, super villain, neo-noir, bold"
19995,tt0499549,Avatar,7.588,32126,Released,2009-12-15,237000000,2923706026,32.3911,162,en,"Action, Adventure, Fantasy, Science Fiction","Dune Entertainment, Lightstorm Entertainment, 20th Century Fox, Ingenious Media",James Cameron,"Sam Worthington, Zoe Saldaña, Sigourney Weaver","paraplegic, attachment to nature, culture clash, indigenous, space travel, space colony, tribe, alien planet, distant future, marine, battle, love affair, scientist, nature, native peoples, power relations, curious, tribal customs, tribal people, tribal chief, deity, cryonics, spiritual community, 22nd century, save the planet, racial discrimination, soldiers, loving, compassionate"
24428,tt0848228,The Avengers,7.735,31521,Released,2012-04-25,220000000,1518815515,35.1429,143,en,"Science Fiction, Action, Adventure",Marvel Studios,Joss Whedon,"Robert Downey Jr., Chris Evans, Mark Ruffalo","new york city, superhero, shield, based on comic, alien invasion, superhero team, aftercreditsstinger, duringcreditsstinger, marvel cinematic universe (mcu)"
293660,tt1431045,Deadpool,7.622,31501,Released,2016-02-09,58000000,782837347,17.4256,108,en,"Action, Adventure, Comedy","20th Century Fox, The Donners' Company, Genre Films, Marvel Entertainment",Tim Miller,"Ryan Reynolds, Morena Baccarin, Ed Skrein","superhero, anti hero, mercenary, based on comic, aftercreditsstinger, duringcreditsstinger"
299536,tt4154756,Avengers: Infinity War,8.235,30394,Released,2018-04-25,300000000,2052415039,34.0939,149,en,"Adventure, Action, Science Fiction",Marvel Studios,Joe Russo,"Robert Downey Jr., Chris Evans, Chris Hemsworth","sacrifice, magic, superhero, based on comic, space, battlefield, genocide, magical object, super power, superhero team, aftercreditsstinger, marvel cinematic universe (mcu), cosmic"
550,tt0137523,Fight Club,8.438,30118,Released,1999-10-15,63000000,100853753,26.8296,139,en,Drama,"Fox 2000 Pictures, Regency Enterprises, Linson Entertainment, 20th Century Fox, Taurus Film",David Fincher,"Edward Norton, Brad Pitt, Helena Bonham Carter","dual identity, rage and hate, based on novel or book, nihilism, fight, support group, dystopia, insomnia, alter ego, breaking the fourth wall, split personality, quitting a job, dissociative identity disorder, self destructiveness"
118340,tt2015381,Guardians of the Galaxy,7.904,28424,Released,2014-07-30,170000000,772776600,9.4612,121,en,"Action, Science Fiction, Adventure",Marvel Studios,James Gunn,"Chris Pratt, Zoe Saldaña, Dave Bautista","spacecraft, based on comic, space, orphan, adventurer, aftercreditsstinger, duringcreditsstinger, marvel cinematic universe (mcu)"
680,tt0110912,Pulp Fiction,8.49,28539,Released,1994-09-10,8000000,213928762,24.5413,154,en,"Thriller, Crime","Miramax, A Band Apart, Jersey Films",Quentin Tarantino,"John Travolta, Samuel L. Jackson, Uma Thurman","drug dealer, boxer, massage, stolen money, briefcase, crime boss, redemption, heirloom, dance competition, los angeles, california, theft, blunt, nonlinear timeline, multiple storylines, aggressive, neo-noir, philosophical, grand, ambiguous, vibrant"
13,tt0109830,Forrest Gump,8.467,28073,Released,1994-06-23,55000000,677387716,23.0516,142,en,"Comedy, Drama, Romance","Paramount Pictures, The Steve Tisch Company, Wendy Finerman Productions",Robert Zemeckis,"Tom Hanks, Robin Wright, Gary Sinise","new year's eve, vietnam war, vietnam veteran, mentally disabled, friendship, usa president, washington dc, usa, post-traumatic stress disorder (ptsd), waitress, based on novel or book, hippie, single parent, parent child relationship, optimism, 1970s, drug addiction, autism, alabama, black panther party, bus stop, family relationships, chameleon, single mother, military, anti war protest, 1960s, college american football, mother son relationship, america, feel-good"
671,tt0241527,Harry Potter and the Philosopher's Stone,7.902,28092,Released,2001-11-16,125000000,976475550,32.5775,152,en,"Adventure, Fantasy","Warner Bros. Pictures, Heyday Films, 1492 Pictures",Chris Columbus,"Daniel Radcliffe, Rupert Grint, Emma Watson","witch, school friend, friendship, london, england, based on novel or book, magic, boarding school, child hero, school of witchcraft, chosen one, school, ghost, fantasy world, wizard, based on young adult novel, owl, joyous, enchant"
1726,tt0371746,Iron Man,7.649,26857,Released,2008-04-30,140000000,585174222,25.9919,126,en,"Action, Science Fiction, Adventure","Marvel Studios, Marvel Entertainment, Fairview Entertainment",Jon Favreau,"Robert Downey Jr., Terrence Howard, Jeff Bridges","middle east, superhero, arms dealer, malibu, based on comic, aftercreditsstinger, marvel cinematic universe (mcu), counterterrorism, powerful"
